,level_0,index,R,T,B_p,B_p_reject,ml_outcomes,N,row_id,decision
143,0,143,0,64,1,1,1166.6304,1476,143,1.0
147,1,147,0,65,1,1,1156.1795,1435,147,1.0
135,2,135,0,62,1,1,1154.1252,1524,135,1.0
131,3,131,0,61,1,1,1151.2458,1557,131,1.0
151,4,151,0,66,1,1,1146.6396,1398,151,1.0
139,5,139,0,63,1,1,1141.3182,1474,139,1.0
155,6,155,0,67,1,1,1139.6679,1367,155,1.0
123,7,123,0,59,1,1,1089.1189000000002,1553,123,0.0
127,8,127,0,60,1,1,1075.2844,1492,127,0.0
159,9,159,0,68,1,1,1064.897,1258,159,1.0
119,10,119,0,58,1,1,1022.8620000000001,1502,119,0.0
163,11,163,0,69,1,1,1012.0536000000001,1179,163,1.0
115,12,115,0,57,1,1,1005.3323,1523,115,0.0
166,13,166,0,70,1,1,993.8385000000001,1143,166,1.0
170,14,170,0,71,1,1,919.4955,1045,170,1.0
112,15,112,0,56,1,1,909.8625,1425,112,0.409286555549712
173,16,173,0,72,1,1,868.2496,976,173,1.0
108,17,108,0,55,1,1,867.1341,1407,108,0.0
176,18,176,0,73,1,1,856.3657999999999,953,176,0.0
179,19,179,0,74,1,1,822.5583,907,179,1.0
104,20,104,0,54,1,1,762.7760000000001,1285,104,0.0
182,21,182,0,75,1,1,743.5698,813,182,1.0
185,22,185,0,76,1,1,705.1005,765,185,0.0
100,23,100,0,53,1,1,680.0360000000001,1192,100,0.0
188,24,188,0,77,1,1,654.4515,705,188,1.0
96,25,96,0,52,1,1,640.1070000000001,1170,96,0.0
377,26,377,1,53,1,1,596.0604,741,377,0.0
191,27,191,0,78,1,1,589.6064,631,191,1.0
381,28,381,1,54,1,1,563.6637,681,381,0.0
393,29,393,1,57,1,1,556.8144,622,393,1.0
389,30,389,1,56,1,1,555.3552,636,389,0.9305302722975063
92,31,92,0,51,1,1,555.016,1060,92,0.0
373,32,373,1,52,1,1,549.7536,704,373,1.0
385,33,385,1,55,1,1,548.7015,645,385,0.0
396,34,396,1,58,1,1,542.6272,592,396,1.0
195,35,195,0,79,1,1,534.86,569,195,1.0
400,36,400,1,59,1,1,533.3806,569,400,1.0
404,37,404,1,60,1,1,529.4422000000001,553,404,1.0
198,38,198,0,80,1,1,490.50690000000003,519,198,1.0
369,39,369,1,51,1,1,489.1512,646,369,0.0
88,40,88,0,50,1,1,476.4047,953,88,0.0
365,41,365,1,50,1,1,473.1075,645,365,0.0
415,42,415,1,63,1,1,456.72769999999997,451,415,1.0
408,43,408,1,61,1,1,453.1424,464,408,1.0
362,44,362,1,49,1,1,448.6568,632,362,0.05968396509050206
411,45,411,1,62,1,1,440.8293,443,411,1.0
202,46,202,0,81,1,1,434.0586,457,202,1.0
345,47,345,1,45,0,0,425.2528,688,345,0.0
84,48,84,0,49,1,1,423.34180000000003,889,84,0.0
205,49,205,0,82,1,1,422.6663,443,205,1.0
352,50,352,1,47,0,0,421.132,635,352,0.0
356,51,356,1,48,0,0,410.4672,598,356,0.0
360,52,360,1,49,0,0,406.0628,572,360,0.05968396509050206
349,53,349,1,46,0,0,390.0036,609,349,0.0
338,54,338,1,43,0,0,388.83520000000004,676,338,0.0
342,55,342,1,44,0,0,387.595,650,342,0.0
105,56,105,0,55,0,0,385.80379999999997,626,105,0.0
97,57,97,0,53,0,0,382.8055,671,97,0.0
109,58,109,0,56,0,0,381.823,598,109,0.409286555549712
113,59,113,0,57,0,0,380.8777,577,113,0.0
363,60,363,1,50,0,0,379.95300000000003,518,363,0.0
418,61,418,1,64,1,1,377.7898,367,418,1.0
93,62,93,0,52,0,0,373.6693,683,93,0.0
89,63,89,0,51,0,0,368.6144,704,89,0.0
359,64,359,1,48,1,1,367.9104,536,359,0.0
101,65,101,0,54,0,0,365.6576,616,101,0.0
208,66,208,0,83,1,1,361.20369999999997,377,208,1.0
366,67,366,1,51,0,0,359.67,475,366,0.0
116,68,116,0,58,0,0,358.887,527,116,0.0
422,69,422,1,65,1,1,357.4926,342,422,1.0
425,70,425,1,66,1,1,354.1402,334,425,1.0
